INFO 2020-09-11 04:04:45,858 autoreload 578 Watching for file changes with StatReloader
INFO 2020-09-11 04:05:06,928 autoreload 578 Watching for file changes with StatReloader
INFO 2020-09-11 04:07:30,524 basehttp 154 "GET /users/index/ HTTP/1.1" 200 14115
INFO 2020-09-11 04:07:36,202 basehttp 154 "GET /admin/ HTTP/1.1" 302 0
INFO 2020-09-11 04:07:36,435 basehttp 154 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 1819
INFO 2020-09-11 04:07:36,556 basehttp 154 "GET /static/admin/css/login.css HTTP/1.1" 200 1233
INFO 2020-09-11 04:07:36,557 basehttp 154 "GET /static/admin/css/base.css HTTP/1.1" 200 16378
INFO 2020-09-11 04:07:36,558 basehttp 154 "GET /static/admin/css/responsive.css HTTP/1.1" 200 17944
INFO 2020-09-11 04:07:36,609 basehttp 154 "GET /static/admin/css/fonts.css HTTP/1.1" 200 423
INFO 2020-09-11 04:07:36,715 basehttp 154 "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 200 85692
INFO 2020-09-11 04:07:36,716 basehttp 154 "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 200 85876
INFO 2020-09-11 04:07:59,110 basehttp 154 "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2020-09-11 04:07:59,282 basehttp 154 "GET /admin/ HTTP/1.1" 200 8026
INFO 2020-09-11 04:07:59,366 basehttp 154 "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 200 86184
INFO 2020-09-11 04:07:59,367 basehttp 154 "GET /static/admin/css/dashboard.css HTTP/1.1" 200 412
INFO 2020-09-11 04:07:59,374 basehttp 154 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2020-09-11 04:07:59,386 basehttp 154 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO 2020-09-11 04:08:04,645 basehttp 154 "GET /admin/companyInfo/companydetail/ HTTP/1.1" 200 4433
INFO 2020-09-11 04:08:04,725 basehttp 154 "GET /static/admin/css/changelists.css HTTP/1.1" 200 6170
INFO 2020-09-11 04:08:04,745 basehttp 154 "GET /static/admin/js/actions.js HTTP/1.1" 200 6538
INFO 2020-09-11 04:08:04,747 basehttp 154 "GET /static/admin/js/core.js HTTP/1.1" 200 7135
INFO 2020-09-11 04:08:04,748 basehttp 154 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 6918
INFO 2020-09-11 04:08:04,758 basehttp 154 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 271751
INFO 2020-09-11 04:08:04,761 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3223
INFO 2020-09-11 04:08:04,762 basehttp 154 "GET /static/admin/js/urlify.js HTTP/1.1" 200 8972
INFO 2020-09-11 04:08:04,788 basehttp 154 "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 363
INFO 2020-09-11 04:08:04,795 basehttp 154 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 128820
INFO 2020-09-11 04:08:04,805 basehttp 154 "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1530
INFO 2020-09-11 04:08:04,859 basehttp 154 "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
INFO 2020-09-11 04:08:08,195 basehttp 154 "GET /admin/companyInfo/companydetail/1/change/ HTTP/1.1" 200 7170
INFO 2020-09-11 04:08:08,212 basehttp 154 "GET /static/admin/js/change_form.js HTTP/1.1" 200 712
INFO 2020-09-11 04:08:08,212 basehttp 154 "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 495
INFO 2020-09-11 04:08:08,222 basehttp 154 "GET /static/admin/css/forms.css HTTP/1.1" 200 8518
INFO 2020-09-11 04:08:08,233 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3223
INFO 2020-09-11 04:08:08,275 basehttp 154 "GET /static/admin/css/widgets.css HTTP/1.1" 200 10340
INFO 2020-09-11 04:08:14,177 basehttp 154 "GET /admin/ HTTP/1.1" 200 8026
INFO 2020-09-11 04:08:16,806 basehttp 154 "GET /admin/companyInfo/department/ HTTP/1.1" 200 3224
INFO 2020-09-11 04:08:16,842 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3223
INFO 2020-09-11 04:08:19,886 basehttp 154 "GET /admin/ HTTP/1.1" 200 8026
INFO 2020-09-11 04:08:21,466 basehttp 154 "GET /admin/users/user/ HTTP/1.1" 200 5267
INFO 2020-09-11 04:08:21,497 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3223
INFO 2020-09-11 04:08:27,658 basehttp 154 "GET /admin/users/user/1/change/ HTTP/1.1" 200 7367
INFO 2020-09-11 04:08:27,690 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3223
INFO 2020-09-11 04:08:29,219 basehttp 154 "GET /admin/users/user/1/delete/ HTTP/1.1" 200 3223
INFO 2020-09-11 04:08:29,231 basehttp 154 "GET /static/admin/js/cancel.js HTTP/1.1" 200 410
INFO 2020-09-11 04:08:30,578 basehttp 154 "POST /admin/users/user/1/delete/ HTTP/1.1" 302 0
INFO 2020-09-11 04:08:30,640 basehttp 154 "GET /admin/users/user/ HTTP/1.1" 200 5204
INFO 2020-09-11 04:08:30,715 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3223
INFO 2020-09-11 04:08:30,795 basehttp 154 "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
INFO 2020-09-11 04:08:32,574 basehttp 154 "GET /admin/users/user/2/change/ HTTP/1.1" 200 7366
INFO 2020-09-11 04:08:32,609 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3223
INFO 2020-09-11 04:08:33,878 basehttp 154 "GET /admin/users/user/2/delete/ HTTP/1.1" 200 3223
INFO 2020-09-11 04:08:35,194 basehttp 154 "POST /admin/users/user/2/delete/ HTTP/1.1" 302 0
INFO 2020-09-11 04:08:35,237 basehttp 154 "GET /admin/users/user/ HTTP/1.1" 200 4979
INFO 2020-09-11 04:08:35,310 basehttp 154 "GET /admin/jsi18n/ HTTP/1.1" 200 3223
